,place,date,category,place ,Tagline,Review 
0,Antelope_Flats,Sep 2021,not available,Arizona ,Mormon Row: Went several times for pictures.,"Lots of history and historical homes and barns. Mormon Row also had a LOT of antelope. For the best pics of the barns, go in the morning."
1,Antelope_Flats,Sep 2021 , Solo,"Lafayette, LA ",Vacation,Loved my drive here. It’s a slow and beautiful drive. It makes you think and appreciate what we have now. To think how these settlers made it. It’s somber the hardships they endured.
2,Antelope_Flats,Jul 2021,not available,"Jefferson, GA ",Wonderful Drive Within Sight of Grand Tetons,"We drove through the classic Antelope Flats, past the old Mormon row, and back to Kelly Warm Springs. We love a scenic drive and this one had antelopes scattered about and an abundance of birds. The warm spring had minnows."
3,Antelope_Flats,Aug 2021,not available,Winston-Salem NC ,Scenic views!,"Antelope Flats is always on the top of my list to visit when I am in Jackson Hole. The views of the Tetons are gorgeous especially when the wildflowers are in bloom and Mormow Row is both Historic and beautiful! It's one of my favorite places in Jackson Hole. The only disappointment on this trip is we didn't see any bison like we have in the pas,t but I still highly recommend a drive through Antelope Flats!"
4,Antelope_Flats,Jul 2021,not available,"Colorado Springs, CO ",Road to Historic District,"Antelope Flats is the road that leads to the Mormon Row Historic District. I personally thought the barns were a little boring, but you do get great views of the Tetons. We got here a little late in the day and my phone had died by then, so unfortunately I didn't get any pictures."
5,Antelope_Flats,Jul 2021,not available,"San Diego, CA ","Where early settlers tried to tame the land, farm and ranch","Interesting history of Mormon settlers planting wheat, building homes and barns, trying to ranch but ending up selling their land to the park service."
6,Antelope_Flats,Jun 2021,not available,"Tampa, FL ",Wildflowers and more,"Our youngest loves wildflowers and the park rangers at the Grand Teton Visitor Center recommended we detour through Antelope Flats to see what was blooming.  We are very glad they did.    Antelope Flats not only offered lots of flowers, it is the site of the original Mormon Settlement. I have Mormon ancestors so I have a sense of Mormon history and found the settlement intriguing. There are homesteads, barns and other out building.  Visitors are allowed to walk around and through the buildings to get a sense of life 'back then'. Our girls were fascinated by the mules lol.    We also saw a herd of antelope, large enough to cause plenty of people to pull over for photos.    Our daughter got a kick out of walking through and identifying the various flowers. The area, surrounded by the mountains, is quite lovely and peaceful. Definitely worth a detour."
7,Antelope_Flats,May 2021,not available,"San Antonio, TX ",Mormon barn is still classic,The Sears Robuck house is still under renovation but you can't take anything away from the Barn. Classic and well worth the trip
8,Antelope_Flats,May 2021,not available,"Bay City, MI ",A place to View Antelope,This is one place to view the many antelope in the Teton National Park area. Not only antelope but some times bison and elk. This was one of the easier places to view that type of wildlife.
9,Antelope_Flats,Apr 2021,not available, ,Beautiful Scenery,Definitely worth the drive out there! Interesting to read of the Mormon settlement and see the barn. Great pic opportunity!
10,Antelope_Flats,Oct 2020 , Couples,"Jackson, MS ",Wildlife!!!,Three moose and great pictures of the Tetons. Wonderful drive off the beaten path. Easy self guided tour. Get off the main road and see wildlife!!
11,Antelope_Flats,Aug 2020,not available,"Seattle, WA, ",The classic photo spot,Get there early or be prepared for parking problems. It's a small spot spread out across a couple of locations. Photo classes and enthusiasts set up early only to be frustrated by last minute tourists that arrive and run out into the frame to take their picture.  My advice is show up early and be sensitive to those that are behind you when you take your picture. Parking may be further away than you expect due to the crowds.    The subject (old mormon farm buildings) are spectacular against the backdrop of the Teton range and it makes most of us look like we are better photographers than actually true.
12,Antelope_Flats,Sep 2020,not available, ,Scenic compared to anywhere,"The Grand Teton Mountains are some of the most beautiful in the world. If you possibly can, you want to see these."
13,Antelope_Flats,Oct 2020,not available,"West Chester, Pennsylvania, USA ",Great Views,Antelope Flats Road is a great place for a drive. We went for a drive in the morning and got to see some animals and great views of the Tetons.
14,Antelope_Flats,Oct 2020,not available,"Atlanta, GA ",A nice way to start your day,"Can't guarantee that you'll see wildlife, but I can guarantee that a visit to Antelope Flats will be a great way to start your day. Go early as the sun is coming up - and don't rush it. Just enjoy the ride and the experience. A nice morning would be to start at Antelope Flats and then go on to Oxbow Bend."
15,Antelope_Flats,Sep 2020,not available,"Jerome, ID ",Beautiful Drive - Don't Be In A Hurry,"A local directed me this route to Moran from Kelly to avoid the crowded highway and I saw beautiful sights. Drive slowly and soak in the scenery, some of the most beautiful I have ever seen."
16,Antelope_Flats,Sep 2020,not available,"Sugar Land, TX ",Don't Miss this Iconic Photo Opportunity,An iconic photo stop for visitors to Grand Teton N.P. Get there early for the morning sun when photos are best taken. The historic T.A. Moulton barn ranks up there with the Grand Teton mountain range as the most photographed scenes in the Jackson Hole area. You also have a good chance of seeing buffalo and pronghorn antelopes along Mormon Row Road between Antelope Flats Rd and Gros Ventre Rd.
17,Antelope_Flats,Sep 2020,not available,"Alpharetta, GA, ",Great views,This area offers spectacular views of the Tetons. It is especially nice in the morning when the rising sun is shining on them
18,Antelope_Flats,Sep 2020 , Couples,"Kansas, ",Photog’s dream,"Even in the smokey haze drifting from the recent West coast fires, this vantage of the majestic Tetons doesn’t stop giving!"
19,Antelope_Flats,Sep 2020 , Couples,"Carlsbad, CA, ",Majestic!,"The drive to Mormon Row and Antelope Flats is not to be missed. We were treated to four herds of Buffalo and tremendous views. It’s absolutely not to be missed,"
20,Antelope_Flats,Sep 2020 , Couples, ,Stepping back in time,Loved the old barns and history behind them! Reminded me of Little House on the Prairie. Definitely worth the stop and possibility of seeing wildlife as well
21,Antelope_Flats,Aug 2020,not available,"York, ME, ",Great scenic drive!,Great scenic drive and a recommended drive to see wildlife. I was surprised how few cars I saw driving around. Lots of great places to take photos including Mormon Row and the Moulton Barn. Watch you step as the ground squirrels (looks like a small prairie dog) had dug a lot of holes.
22,Antelope_Flats,Aug 2020 , Couples,"Madison, MS ",Neat stop for photos,Last stop on our half day Grand Teton tour with ecotour. Highly recommend! Apparently this is the most photographed barn in America. It was beautiful from every angle.
23,Antelope_Flats,Jul 2020,not available,"Cypress, CA ",Must stop for Photographers,A really beautiful place to photograph. These old barns are in such a beautiful setting with the Grand Tetons behind them. We saw pronghorn here too.
24,Antelope_Flats,Jul 2020,not available,"Houston, TX ",Great photo opportunity,"The circa 1890's barns and buildings of this former Mormon homestead make for a great photo opportunity. With the Teton Mountain backdrop, this is a must stop on your visit to Grand Teton National Park."
25,Antelope_Flats,Jul 2020,not available,New Jersey ,Cool Little Stop,Nice little stop while driving through Grand Teton. Great views and good pictures. Probably spent 10-15 minutes there.
26,Antelope_Flats,Jul 2020,not available, ,A Photographer's Dream,"The Mormons settled here at the turn of the 19th century, and some of their houses are still standing. With the Grand Tetons in the background, these structures make for great photo opportunities."
27,Antelope_Flats,Jun 2020,not available,"Fernandina Beach, FL ",What an Amazing View!,"If you are in the area, this is a must see! Beautiful scenery and rich history. Loved loved loved it!!"
28,Antelope_Flats,May 2020,not available,"Colorado Springs, CO ",Loved our visit to Antelope Flats,We are so glad a park ranger recommended we stop by Antelope Flats. My husband and I love history and it was fascinating reading about the settlers and their row of homesteads. We immediately recognized the John Moulton and T.A. Moulton barns from photographs and enjoyed taking many of our own.
29,Antelope_Flats,Jul 2019,not available, ,"Beautiful, iconic photos.","Beautiful views of the Tetons from the flatlands. Fun to see antelope, bison, and other wildlife. We saw this area as part of an EcoTour and loved it!"
30,Antelope_Flats,Dec 2019,not available, ,?History and beauty,"The most photographed barn in the United States sits on Mormon Row in Antelope Flats just outside Jackson Hole and just beyond the Elk Refuge. You can drive directly there in the summer or hike/snowshoe the mile distance in the winter. Visit the most famously photographed barn in the US, the Moulton Barn, and take in the wonderment, beauty and power of the Tetons."
