,place,date,category,place ,Tagline,Review 
0,Granite_Hot_Springs2,Jun 2021,not available,"Prince George, VA ",Nice Little Place!,"Nice little place. Long rickety road to get there. It's in the middle of the woods, up a hill. You check in and pay cash at a little house at the top of the steps. Family owned business. STANK restrooms, so be prepared. Water is nice and warm...likely best enjoyed when the weather is cold/cool. We still enjoyed it in June, but were done before the hour was up. Arrived at opening to avoid crowds. Decent little experience...not the most pristine nor polished, but we were okay."
1,Granite_Hot_Springs2,May 2021,not available,"Collins, GA ","no review for the place - except, no signage to help you know where to turn on US-191","Can't go there is you can't find it. NO road signs, billboards or directional markers on US 191. We couldn't even find, and never saw, any signage for the Iditarod Dog Tours. Wife and I would have gone to the springs, spent the day (and a few dollars), maybe even stayed overnight. People can't come see you fi they don't know hos to get there. GPS was NO help. Get it together, maybe we'll try again if we're in the area."
2,Granite_Hot_Springs2,Jun 2021 , Couples,"Pittsford, VT ",Amazinf,This is a must do. The water is a constant 93 degrees in the summer. And 112 in the winter. It’s a concrete pool that contains the hot spring water. The “pool” is drained every night and refilled every morning. It’s so cool!
3,Granite_Hot_Springs2,Jun 2021 , Friends, ,Off the beaten path. Very relaxing,An hour or so south of Jackson. Have to travel a bumpy dirt road for about 20-30 minutes to get there. Only suggest during good weather. Cheap tickets ($5 per adult). Was perfect way to relax after a long day. Closes at 7pm in spring/summer. Stayed about an hour and a half. Two of the group ran the Grand Tetons Half Marathon that day and felt fine the next day after a soak.
4,Granite_Hot_Springs2,Mar 2021,not available,"Frisco, TX ","Amazing Views, Hidden Gem Hot Spring","The family and I took a guided snowmobile tour to the granite hot spring. The facility is very well maintained and despite the extremely heavy tourist traffic appears be well preserved. The water temperature did not disappoint and the views were spectacular. A must see on your things to do in Jackson, WY!"
5,Granite_Hot_Springs2,Jan 2021,not available, ,Snowmobile ride to the hot springs,This was a great 1/2 day trip. Easy for the entire family. Getting in and out of your swimsuit is pretty easy since the changing rooms are just up the stairs from the hot spring pool
6,Granite_Hot_Springs2,Dec 2020,not available, ,Plan Transportation to Hot Springs Ahead of Time,"As stated on the website, the only way to go to hot springs in the winter is via snowmobile, skiing, or dog sled. We drove from Jackson to go to hot springs assuming there would be some form of transportation to/from the hot springs where the road ends. To our surprise there wasn't. We were told we had to buy tickets Jackson Hole to snowmobile to/from the hot springs. No where does it say that on the site. Please note, if you want to go to hot springs via mode of transportation, plan accordingly before driving an hour to them to find out there is NO ticket sales at point of entrance. It's a beautiful drive though. Enjoy your soak."
7,Granite_Hot_Springs2,Oct 2020 , Couples,"Sioux Falls, SD ",Wonderful hidden gem,Was a fun place to visit! It’s a little bit of a ball down a gravel road but well worth it. Water was about 80ish degrees in October and it was great! We enjoyed the scenery on the way there and while in the pool. Cash only $8 a person I believe and like $4 or $6 for a child. Fun off the way thing that isn’t super touristy. There was only like 8 other people there. Bring your own towel and enjoy!
8,Granite_Hot_Springs2,Oct 2020 , Couples,"Colorado Springs, CO, ","Beautiful, although a tad crowded...","It's a short trek from Jackson to here. Totally worth it. The drive is gorgeous, inexpensive to get in and so relaxing!! Little crowded but was still able to socially distant... Beautiful falls Right down river from the pool."
9,Granite_Hot_Springs2,Sep 2020,not available,"Pittsfield, MA ",Great place,"Not much in social distancing but a great place to go. Not as good as the natural rock hot springs but good overall & in a beautiful spot. Make sure you hydrate well before you get in, I did not & was not good after, if you hydrate prior to will be fine."
