,place,date,category,place ,Tagline,Review 
0,Laurance_Rockerfeller_Preserve,Oct 2021 , Couples,"Weatherford, OK ",Nice place for a walk,"This park has some nice, wooded hiking trails, but not much more. It would be nice if there were more signs along the way describing what we were seeing. The visitors center was closed for the winter, even though this was early in October. We did have to wait about twenty minutes for a parking spot to become available."
1,Laurance_Rockerfeller_Preserve,Sep 2021,not available, ,Nice walk and amazing views,We headed out towards the lake - it was a nice walk with amazing views. The visitors center is also a must see. The architecture was breathtaking - nestled in the mountains/valley. And the varied scenery was incredible.
2,Laurance_Rockerfeller_Preserve,Sep 2021,not available,"Baltimore, MD ",Nice Loop Trail to Phelps Lake,"There is a parking lot that holds about 40-50 cars (so be okay waiting if you're not there early, although they have a good waiting system with a line for cars to wait). There is a bathroom at the parking lot and a small visitor center.    We did the approximately 3 mile loop trail to Phelps Lake. It's relatively easy with some small ups and downs, we probably did it in about 2 hours with some s. There are a few lookouts to stop at along the way (including a small waterfall). The lake itself is beautiful and there are a few ""off trail"" paths to go down to the waterfront itself (the marked path doesn't get you to the water itself). Overall a very nice hike with less of the hectic crowds than Jenny Lake. We also saw a bear on the way there right on the side of Moose Wilson Rd. They recommend you bring bear spray on this hike since bears frequent this area."
3,Laurance_Rockerfeller_Preserve,Sep 2021,not available,"Tampa, FL, ",Phelps Loop Lake Trail a Great Loop Hike | Great Views,"The starting point for Phelps Loop Lake Trail . the bathrooms are actually pretty nice here. - I would highly recommended to take the trail that fully circumnavigates the lake so you can catch all the spectacular views, it is well worth it. Unfortunately, we did not see much wildlife during our hike but the constant changing views of the lake made up for it! Bring water (goes without saying right) it's about 5.5-7.0 miles around the lake and back to the parking area."
4,Laurance_Rockerfeller_Preserve,Aug 2021 , Family,"Rochester, MN, ",Get there early or eat lunch in the car,It is a nice hike and I have heard many say it is like a less crowded Jenny Lake hike. Disappointed in the parking situation though. I counted the vehicles and there were closer to 40 than their limit of 50 yet we had a 1 hour and 20 minute wait with 5 cars in front of us when arriving at 9am. Of course getting there something closer to 7am would avoid that but unfortunate… there are a couple restrooms on the trail that are composting. Trails are pretty well marked. We did the shortest 3 mile loop in just about an hour without an aggressive pace. The trail is rocky with several inclines and declines but pretty easy as trails go.
5,Laurance_Rockerfeller_Preserve,Jul 2021,not available,"Chapin, SC ",Phelps lake and Jumping Rock,"This was a moderate hike to Lookout point, then down to the beautiful lake . My daughter,spouse and three granddaughters all made the 25 jump into the lake and earned their new screensavers"
6,Laurance_Rockerfeller_Preserve,Jul 2021 , Family,"Los Angeles, CA ","Wildlife, Whitewater, and Wildflowers!","Dream hike!  Stunning, uncrowded hikes along a beautiful, rushing river to a lovely hidden lake!  The “Center” is the starting point for various hikes to/ around Phelps lake. (It’s like Jenny Lake’s lesser known and less crowded little brother.)  We took the easiest and fastest loop, which was about 2 hours with little stops for pix etc. The river is gorgeous and travels dramatically downhill.  On the way back we watched from a bridge as a deer snacked on some grass and go down into the river for a drink!  There is a small parking lot at the center. We waited in line of 10 cars (30 min) to park. You can park on the highway and walk into the center parking lot, starting point for all hikes. (Plus nice bathrooms, water fountain.)"
7,Laurance_Rockerfeller_Preserve,Jun 2021,not available, ,Great start the Teton National Park,"We stopped to use the bathrooms (composting, be prepared). What we found was a beautiful easy hike and an educational center that was informative, spacious, and beautiful. We highly recommend that you visit."
8,Laurance_Rockerfeller_Preserve,May 2021,not available,"Douglass Hills, KY ",Ni e hike to the lake,Great hiking here. It is rated moderate but relatively easy for the entire family. There are also multiple options depending on how long you want to hike.
9,Laurance_Rockerfeller_Preserve,May 2021,not available,"Plantation, FL ",Worth the time,"Thanks to TripAdvisor I put this hike on our things to do list. We went early as stated and it was nice and open. The view of the lake was beautiful! I could stare at it all day. We hiked around the lake and then 2 other routes. The lake itself is 4 miles. The Creekside hike was nice and relaxing to hear on the way back. About 8 miles total. Moderate, not much elevation."
10,Laurance_Rockerfeller_Preserve,May 2021,not available,"Jackson, WY ",Great wildlife viewing in this area,"Road is a bit rough but wildlife viewing was really good. Saw Moose, elk, beaver and a big grossly bear"
