,place,date,category,place ,Tagline,Review 
0,Jackson_Hole_Playhouse,Sep 2021,not available, ,Absolutely o Covid precautions,"It’s almost as if they ever heard of COVID. They pack you in to every seat, with no effort to social distance. Nobody wears a mask, and no effort was made to request patrons to wear one. I understand the performers couldn’t wear one, it at least 98% of the people watching weren’t wearing one. We were so uncomfortable we couldn’t wait to leave"
1,Jackson_Hole_Playhouse,Sep 2021 , Family,"Hatfield, Pennsylvania, United States ",Awesome!,"Had a wonderful evening here! It was a nice change from all the hiking and outdoor activities to simply sit and be entertained. Food was great, and the show was wonderful. (7 Brides for 7 Brothers). Highly recommend!"
2,Jackson_Hole_Playhouse,Jul 2021,not available,"Cincinnati, OH ",Superb Acting,"While we don't go to the play that often, attending Seven Brides for Seven Brother was a great call. Acting and director were superb. They did a great job, especially when you consider the limited resources. After a number of days in a row of sightseeing, hiking , fighting crowds for dinner - it was nice to have an laid back enjoyable time at the theater. At intermission, one of the actors in play will sell you booze which you can bring back into theater..."
3,Jackson_Hole_Playhouse,Aug 2021,not available,New York ,Fantastic dinner theater,We loved our evening at the Playhouse. The dinner was delicious and it was fun to have the wait staff sing during the meal. The show was fabulous. It is a small setting with outstanding actors. We loved it.
4,Jackson_Hole_Playhouse,Aug 2021 , Family, ,"Great show, great laughs!","Excellent! Great family fun, good music, talent, staging, lots of laughs and incredible slow motion. Fight scene! Plus it was a good price too! Our family loved it! Thank you for a great night Jackson playhouse! We hope to come back soon!"
5,Jackson_Hole_Playhouse,Jul 2021 , Family,Kentucky ,Go here if you can,This was a fantastic evening! The actors were excellent. We laughed the whole time. My youngest daughter said this was the best play that she’d ever seen. We saw Seven Brides for Seven Brothers.
6,Jackson_Hole_Playhouse,Jul 2021,not available,"Greensboro, NC ","Close quarters, but an entertaining show","Dinner was good if not spectacular, but that's optional in any case. They do offer some live singing by the cast during dinner, which keeps things fun. The show itself was a blast - great acting, fun, and really engaging. Worth an evening of your time in Jackson. Only downside to seeing the show in summer is the venue lacks AC or much ventilation, and they pack in the audience. Combined with a nearly 3-hour runtime (including intermission) and mid-summer it gets pretty stifling."
7,Jackson_Hole_Playhouse,Jul 2021 , Family, ,Fun evening in Jackson for families!,"We did the meal and show option. Our whole family (boys ages 14 and 11) loved the food and show. Highly recommend. Lots of laughing, talented group!"
8,Jackson_Hole_Playhouse,Jul 2021,not available,New York ,Highly Entertaining Family Fun,"Fun and entertaining evening at the Jackson Hole Playhouse. Great family fun. The entire family (including the kids, aged 11, 9 and 7) really enjoyed watching 7 Brides for 7 Brothers. . The theater is small, the actors are energetic and engaging. You'll laugh out loud and be entertained the entire evening."
9,Jackson_Hole_Playhouse,Jun 2021,not available,"loomis, United States ",Amazing acting,"We visited here at the end of June 2021 and based on the reviews we went. We LOVE plays and this did NOT dissappoint. Our 3 adult children 18,20,22 loved it as well. We were laughing so hard at one point we were crying! The ""Slow Mo"" part is hilarious and I was quite impressed with the acting. These young adults come from ALL over to spend a summer/fall here acting. The piano player was AMAZING. And our family Loves the theatre, so we were a hard sell. Did not go to the dinner had a nice dinner for 100$ in town vs 225$ at the playhouse.... This was one of my favorite memories of our trip. We plan to visit again ..."
10,Jackson_Hole_Playhouse,Jul 2021 , Family,"Tacoma, WA ",Family Fun,"Highly recommend during your Jackson visit. We watched a performance of Seven Brides for Seven Brothers. The theater is intimate and has a unique old-west feel. The performance was excellent - from the talented and hilarious cast to the impressive playing by the piano player. The entire family (from my teenage daughter who is obsessed with theater and musicals, to my boys aged 12 and 7 who thought they were in for a dull night of theater) couldn’t stop talking about all of their favorite parts of the performance. Hands down would do this next time we are in town."
11,Jackson_Hole_Playhouse,Jul 2021 , Family,Georgia ,If you want to have a fun night then go!,Our family of four (kids aged 18 and 16) loved this show tonight. It was very funny and the music and acting was exceptional. It was the perfect ending of our week here visiting Yellowstone and the Tetons. Our family agrees that this was one of the highlights of our trip. It definitely added to the total experience!!! We definitely recommend!!!
12,Jackson_Hole_Playhouse,Jun 2021,not available, ,Fun evening,The cast of 7 brides for 7 brothers was excellent. Had a really fun night. Be prepared to be very close to the seat next to you! It's crammed and pretty warm inside.
13,Jackson_Hole_Playhouse,Jun 2021 , Family,"San Diego, CA ",Great Playhouse and Show,"We started our Jackson Hole trip by going to the JH playhouse on our first night (which was their opening night). I am not a theater person and I had an amazing time. The show, Seven Brides for Seven Brothers, was very entertaining and the dancing was so good and very well choreographed. We did the dinner at the playhouse before and enjoyed the show done by the actors who were our servers. While part of the cast served dinner, other members are out doing the gunfight in the town square. These people and the playhouse are the heart of Jackson, WY. You must go there if you are visiting Jackson."
14,Jackson_Hole_Playhouse,Jun 2021 , Friends,"Jackson Hole, WY ",Best show and talent in the West.,Once again the Jackson Hole Playhouse is amazing. We are regulars and the food and entertainment is the best. Connor my 24 year son with Down Syndrome is a part of the Playhouse family. Kind and welcoming. We attend 3-4 times every summer.
15,Jackson_Hole_Playhouse,Jun 2021 , Couples,"Farmington, UT ",Beyond spectacular,"This year my family decided that for our reunion it would just be the siblings and our spouses along with our sweet mother and her great husband.    We attended 7 brides for 7 brothers. Needless to say the entire experience was beyond sensational. Vicki the owner was beyond accommodating and the entire staff was attentive to our every need and were fantastic to interact with.    The food was sensational and the play was as good as I’ve seen. And I have been blessed to see world class productions in New York, Cleveland and Chicago and Oakley Idaho 😉    Society needs more of these types of businesses. Thank you Jackson Hole Playhouse for making our family reunion so special."
16,Jackson_Hole_Playhouse,Jun 2021,not available, ,Family fun,"We had the greatest time. The food was fantastic, the service professional and fun. The Play was so much fun to watch. We loved everything!!!"
17,Jackson_Hole_Playhouse,Jun 2021 , Family, ,EVEN MY LITTLE KIDS LOVED IT!,"We saw Seven Brides for Seven Brothers tonight, and it even kept my seven year old son’s attention. My three year old did really well, too. This was a highlight of our trip, and we will definitely be back. Thanks to the cast and crew for an amazing night that will last in our memories forever."
18,Jackson_Hole_Playhouse,Feb 2021,not available,"WATERFORD, Connecticut ",Fun Night at the Theater!,"Great little theater in Jackson Hole! Way overpriced.. but fun if your looking for something to do. The food was ok - drinks good, and the entertainment was fun. Don't go expecting to see a Broadway show.. it's more of a fun, entertaining evening."
19,Jackson_Hole_Playhouse,Dec 2020 , Couples, ,A MUST SEE,This was a pleasant surprise. We love musicals and have seen many over the years and never expected to see this kind of talent and quality in this small town. A DEFINITE must when visiting Jackson Hole
20,Jackson_Hole_Playhouse,Sep 2020 , Couples,"Orlando, FL ",Highly recommend,"Amazing show. Talented cast. Would highly recommend! Just one warning - despite The Playhouse asking customers multiple times to wear face coverings and exit in an orderly fashion after the show, many people seemed to forget about the pandemic and exited as a herd without a face covering."
21,Jackson_Hole_Playhouse,Sep 2020,not available,"Southern Shores, NC ",Great night of entertainment,Everything was excellent. From the steak dinner to the singing waiters to the show itself we were very impressed. The playhouse has taken great pains to establish social distancing even in the theater and we felt very comfortable a s a result.
