,place,date,category,place ,Tagline,Review 
0,String_Lake,Aug 2021,not available,"Durham, NC ",A gem near Jenny lake,"This is a beautiful lake next to Jenny Lake that many people frolic in. There's also a trail that loops around the lake which is one of the easier walks you can take a family on. There are multiple parking lots serving this lake and Jenny lake which tend to fill up quickly during the day, so go early or late to be able to get a parking space."
1,String_Lake,Aug 2021,not available,"Oshkosh, WI ",Get there early,Arrive early in the day to find a parking spot. We hiked the 3.8 mile loop around the lake. The trail on the east side is easy but becomes moderate as you loop around to the west side. The trail also connects to several other trails. Trails are well signed. There is a boat launch and picnic places.
2,String_Lake,Jul 2021,not available,"Charlotte, NC, ",Swimmin' Hole!,"I feel like String Lake is one of the better kept secrets of Grand Teton, and it's possibly because it's parking and access is limited, so make sure to arrive early.  The lake is 10ft deep at it's deepest point, so it is absolutely perfect for swimming in crystal clear water that you can see all the way to the bottom.  Do be aware of wildlife in the area, we say a moose, a bear and a snake while here. There are lots of people so no real need to be worried about potential danger, but just be aware and make sure your kids are too.  The beach access here is very limited, so like I said arrive early and claim your spot. Also, make sure to bring a kayak or paddle-board to fully enjoy String. It's a magical lake and one that we could've spent longer at if we had the time. I highly recommend it."
3,String_Lake,Jul 2021,not available,"Colorado Springs, CO ","Smaller, Less Crowded Lake","The pro here is that String Lake is much less crowded than Jenny Lake, but the con is that it's also a little less scenic. There are some trails in the area for hiking, and you can access Leigh Lake nearby from those trails. We were already a little hiked-out by this point, so we just walked around the picnic area instead."
4,String_Lake,Jun 2021,not available,"New Jersey, USA ",Yup: much less crowded than Jenny Lake!!,"A less-crowded gem. Beautiful lake in the Tetons, incredible views, easy access, large parking lot. So much more pleasant than Jenny Lake crowds."
5,String_Lake,Sep 2020,not available,"Lakeside, CA ",A less crowded alternative to Jenny lake,Jenny lake was continuously over crowded with no parking available. String lake was a little better and just as nice although there's no boat ride available there.
6,String_Lake,Aug 2020,not available,"Spokane, WA, ",String Lake Put on your hiking boots you will enjoy the hike.,"We found the parking challenging at String Lake, we had to drive round and round and pretty much follow someone as they were leaving. But the challenge was worth the wait. We took the hike around the lake and it was beautiful. There was lots of people enjoying the water of the lake swimming, relaxing on floats and the picnic area was quite nice and a great way to finish off a hike.  Take the time to hike the lake you too will enjoy this hike. FYI it does link up to Jenny Lake Hidden falls trail if you missed that hike, it is beautiful as well. Enjoy and put on your hiking boots."
7,String_Lake,May 2020 , Family, ,Less Crowded than Jenny Lake,"There were very few people on this trail. We hiked Jenny lake first and came back the next day to hike this one. The solitude was great, the views are just as good, not as much wildlife (or it just wasn’t out) and the trails are very similar. Weather was beautiful but still lots of snow near the top to the point where it was tough to see the trail. This entire area is breathtaking."
8,String_Lake,Jul 2020,not available,"Salt Lake City, UT ",Beautiful. Not too crowded (compared to Jenny Lake),Beautiful lake. We enjoyed hiking around it. There were people relaxing on the lake beaches. It was a tranquil place to
9,String_Lake,Jun 2020,not available, ,Early Morning,Started out at 620 AM and we were the only ones on the trail the entire time. Went out to Leigh Lake Sand Beach and back.
