,place,date,category,place ,Tagline,Review 
0,Teton_Pass,Dec 2021 , Couples,"St. Petersburg, FL ",Check road conditions and weather!,"We were driving from Alta to Jackson this December and I followed my GPS which sent us to the Teton pass. Very difficult drive with snow on the road, high winds with blowing snow at the top of the mountain, zero visibility at times. I’ve never been more nervous driving! My fault for blindly following my GPS, but I would not make that drive again in winter! I would find a different route even if it took a lot longer."
1,Teton_Pass,Jun 2021,not available,"Riverside, CA ",Nice grade and cures well banked!,"What a beautiful entry from Idaho down into Jackson Hole!! Beautiful overview of many mountain ranges and the whole valley - but don't look and drive. There are a few pull overs for viewing. So many of the locals that live in Idaho and work in Jackson drive this in the winter - I can't imagine, then again I don't do much snow driving!!"
2,Teton_Pass,Jun 2021,not available,"Middletown, DE ",Great Views!!,We rode over the Pass on our way to dinner in Idaho one evening. We planned it so we could take this drive. The views are awesome. There are some pull-offs so you can take photos.
3,Teton_Pass,May 2021 , Couples,"Albany, NY ",Scary,Beautiful views yes! However scary steep curvy hills not worth the anxiety panic attacks if you hate heights like me. Drivers had on the breaks most of the time
4,Teton_Pass,May 2021,not available,"Midway, PA ",What a view at the top!,"It's really a fun drive up the Teton Pass...it's steep and windy most of the way, but it's an adventure. The views are amazing!"
5,Teton_Pass,Sep 2020,not available,"Alpharetta, GA, ",Fun Drive,"We returned to Jackson from Idaho thru this pass. It was quite a drive; on par with the Beartooth Highway west of Yellowstone, and the Going to the Sun Road in Glacier.    Great Views, including some of the Tetons    Tight switchbacks and curves, some of them very steep, make this a fun road to drive if you are the right vehicle."
6,Teton_Pass,Jul 2020,not available,"York, SC ",Super views,Beautiful views. We went from Jackson where we were vacationing through this pass on the way to visit Idaho just for the day. Driving up the mountain and back down again showcased such great mountain views.
7,Teton_Pass,Jul 2019,not available, ,PERFECT VIEW,"Stop and take a picture, it is worth it. It looks back over the teton village. Narrow fun road with gorgeous view"
8,Teton_Pass,Nov 2019 , Business,"Memphis, TN ",Beautiful Must See,"I visited Jackson Hole , Wy on business this month. Jackson Hole is a beautiful, quaint, historic little village that has something for everyone. Great restaurants, shopping, and even more beautiful scenery. The Teton Pass is a bit scary to drive with really sharp switchbacks and a 20 mile per hour speed limit on the curves but worth the drive"
9,Teton_Pass,Aug 2019,not available,"Centreville, United States ",Teton Pass,Breathtaking drive that is a short distance from Jackson. Great views and will not take too much time!
10,Teton_Pass,Aug 2019 , Friends,"Plettenberg Bay, South Africa, ",Beautiful Drive,We came in Summer so no snow on the ground so an easy drive. I would just say fill up on gas in Victor Idaho if you are coming from Yellowstone. Pretty drive and use low gears going down the other side. No pics as I was driving!
11,Teton_Pass,Jul 2019 , Couples,"Joensuu, Finland, ",Great views,"Great views. The road is n't that bad to drive, at least in summer time. Great photo opportunies at the road."
12,Teton_Pass,Jul 2019 , Family,"Bozeman, MT ",I was the driver..,I don’t think this was so bad? I am a nervous nelly and It was my first day driving a large suv rental car but it was not nerve wracking. Some beautiful turnouts to take a break and enjoy the views. We did this as an alternative route from Jackson Hole to Bozeman via West Yellowstone. Smooth driving.
13,Teton_Pass,Jun 2019 , Family,"Muskego, WI ",Unbelievable Views,We were leaving the GTNP area and driving to West Yellowstone area. This drive is no joke. It is steep. The views are gorgeous and we wish we would have had an excuse to go over it again to enjoy more views. These kinds of passes always makes me wonder how these were ever built...just amazing.
14,Teton_Pass,Jun 2019 , Solo,"St. Augustine, FL ",America the Beautiful!,"The pass is awesome and got us to Teton Village to paraglide in 30 min., all breathtakingly beautiful. Jackson was so crowded we just went thru and got back to peaceful Victor, Idaho. (Had been to Jackson on a previous trip). Also went over Hoback pass, which is also a beautiful scenic ride."
15,Teton_Pass,Jun 2019 , Family,"Charlotte, NC, ","Easy roads, beautiful views","We drove the Teton Pass everyday from Victor, and I can say, in the summer it's an easy drive, despite the steep incline. In the winter, crews are quick to keep the pass clear, and the pass offers beautiful mountain views and turnouts for photos along the way."
16,Teton_Pass,Jun 2019 , Family,"Houston, TX ",Rode All the Lifts in the Summer--Nice Views,"The Village at Teton Pass in the summer does not have a lot to do like some resorts, but going on-line and getting a discounted passes allowed us to ride the 3 lifts they have a the Village and look at the scenery. Of course the view from the top of the mountain is impressive, after that the scenery from the other two lifts is fine, but does not compare.  The mountain bike course looks interesting, but it is only for those serious about the sport and we did not have the time to sign up for class or bring the equipment and bike needed.  All in all, it was a nice stop before we went into the town of Jackson, WY and we were glad we did, but this is not Aspen in the summer."
17,Teton_Pass,Jun 2019 , Couples,"Surprise, AZ ",Steep drive with spectacular views (if you can take your eyes off the road),We made four trips across the pass during our stay in the Teton area. Three of them were pretty frustrating; when you get behind a driver who doesn't know how to drive in mountains it is not fun. The fourth time we had good drivers and it was a wonderful drive. The scenery is spectacular and the road is sort of fun - twisting curves and uphills and downhills. But we were glad to see the last of it!
18,Teton_Pass,Mar 2019,not available,"Ann Arbor, MI ",Outstanding adventure,Ski vacation. Took a day off and went on a Ranger guided snowshoe tour (free) of the Tetons. Worth every penny!
