,place,date,category,place ,Tagline,Review 
0,Town_Square50,Mar 2022,not available,"Macon, GA ",Iconic,"The square at JH is beautiful. We were in a heat wave so there was almost no snow, but the antler arches were back lit with white lights as were the trees, it was still charming even though the sights were not what we expected to see due to no snow. But they were expecting snow after we departed. the stores are fun too!!"
1,Town_Square50,Feb 2022,not available, ,But first coffee...,"Cowboy Coffee>drink up.  Great slice and salad at Caldera Pizzeria. (Teton was closed for lunch)  Silver Dollar Bar yummy food, great band and toe tapping."
2,Town_Square50,Jan 2022 , Couples,"Easley, SC ",First visit to down town square Jackson Hole,"My husband and I visited the area for the first time. We were charmed by the down town area, lights on the streets, and friendly merchants. Ice skating rink was available and was in use by several kids and adults. One of the shops we visited was glad to ship our purchases back home for us as we traveled with a minimal amount of luggage.Several restaurants were available to choose from for any meal or snack.A delightful way to spend the day browsing around and eating. The elk antler arch was a sight to behold.. Can’t wait to visit again."
3,Town_Square50,Jan 2022,not available,"Madison, WI ",Nobody shovels?,"Walking around Jackson in the winter is a nightmare of thick, slick iced over sidewalks. It's amazing to me that the town isn't hit with legal claims resulting from falls. The wooden boardwalks are clear because they are covered but any uncovered sidewalk is a disaster"
4,Town_Square50,Dec 2021,not available,Mankato ,Iconic,Great photo op location in Jackson for either day or night pictures. This is a must if you visit Jackson Hole.
5,Town_Square50,Dec 2021 , Family,"Charleston, SC ",Christmas Beauty & Warmth in the Square,Do not miss this lovely town Square! The lighted trees and the antler arches are amazing! We were lucky enough to see Christmas Carolers in the Square.
6,Town_Square50,Sep 2021,not available,"Argyle, TX, ",Great Modern Western Town,"Jackson is a lovely western town that can leisurely be explored by foot. The antler arches around its park are a great spot for photos, or just sit and relax in the shade. There are plenty of restaurants, boutiques, museums and souvenir shops to make your visit interesting."
7,Town_Square50,Oct 2021,not available, ,Great photo op,A wonderful touch to the downtown square..perfect photo op and excellent use of the antlers..the perfect compliment to downtown Jackson Hole
8,Town_Square50,Aug 2021,not available,Texas ,Elk Antler Arch - Great Place to Get a Photo,"At each corner of the park there are huge archways made of elk antlers. Elk yearly shed their antlers, so you don’t have to worry if the antlers are coming from elk that were shot by hunters. The antlers are reportedly collected by the Boy Scouts from the nearby National Elk Refuge and the arches are periodically rebuilt as needed. The first antler arch was built in 1953. The park, located in the center of Jackson, is a historical landmark and is very popular for picture-taking by tourists. I’ve never been there at Christmas when the antlers are decorated and lit with Christmas lights, but the pictures are beautiful. I still remember the 1st time we visited the park, which was back in the early 80’s, and my son got lost during the 4th of July parade. (PaM)"
9,Town_Square50,May 2021,not available,"North Carolina Mountains, NC, ",Great to see it in person,"It was great fun to finally see the Antler Arches in person and take selfies. Plenty of parking around the square, so even if you are just driving through a great stop for a photo op."
10,Town_Square50,Oct 2021,not available,"Rock Hill, South Carolina, United States ",Loving coming here,"We've walked the town square many times, but it's always fun to sit in the park on a bench and talk. We also managed to find the web cam, text our kids and get them to find us live online downtown. Super fun."
11,Town_Square50,Oct 2021 , Couples,"Fort Wayne, IN, ",JUST A PARK?,"Not that much to see here. Unfortunately, there was supposed to be a “concert“ type event. Apparently, they had stopped this event some time ago. Disappointing!"
12,Town_Square50,Oct 2021 , Couples,"Boise, ID ",Beautiful Town!,Jackson does not disappoint. Beautiful park surrounded by lots of fun shops and restaurants! Iconic western town - a must visit for anyone’s bucket list.
13,Town_Square50,Sep 2021,not available,"Marion, NC ",Beautiful,The arches of elk hon gathered by the local Boy Scout Troops and the War Memorial in the center make this a place worth walking through. We loved the relaxing atmosphere and the attention paid to the grounds and surrounding area.
14,Town_Square50,Sep 2021 , Couples,"Cedarburg, WI ",Disappointing,"I was looking forward to doing some early Christmas shopping in Jackson Hole. I was hoping to find some beautiful clothes, scarves, handbags, etc., that were only found in that area. Almost all the stores had cheap t-shirts, sweatshirts & junky souvenirs. Yuk. They did have some Native American and regular jewelry stores that did have some beautiful things. Most of them were out of our price range for gifts. And I think a bit overpriced anyway. We didn’t return to the square again except to eat at Local."
15,Town_Square50,Sep 2021 , Couples,"Matthews, North Carolina, USA ",Jackson Town Square is a must do!,"The town square in Jackson is a perfect delight! Lots of fun shops, restaurants, and people-watching opportunities. The elk antler arches on each corner at iconic and add to the sense that you’re in a special place."
